record_index,model,suspicious,confidence,reason,duration_s,input_tokens,output_tokens,total_tokens,estimated_cost_usd,raw_response,input_payload,baseline_suspicious,baseline_confidence,agreement_with_baseline,confidence_delta_to_baseline
0,o4-mini,True,0.75,"The record lists country=Germany and locality indicates the specimen was cultivated in Berlin, yet the decimalLatitude/decimalLongitude (46.3467, 11.4498) fall in northern Italy (Passo Oclini) matching the stated provenance in Italy rather than the actual collection site in Berlin. This is a clear conflict between country and coordinates, so it represents a highly probable anomaly (0.60–0.85 in the rubric).",13.263561900006607,1021,768,1789,0.004502300000000001,"{""suspicious"": true, ""confidence"": 0.75, ""reason"": ""The record lists country=Germany and locality indicates the specimen was cultivated in Berlin, yet the decimalLatitude/decimalLongitude (46.3467, 11.4498) fall in northern Italy (Passo Oclini) matching the stated provenance in Italy rather than the actual collection site in Berlin. This is a clear conflict between country and coordinates, so it represents a highly probable anomaly (0.60–0.85 in the rubric).""}","{""scientificName"": ""Arnica montana"", ""scientificNameFull"": ""Arnica montana"", ""genus"": ""Arnica"", ""family"": ""Asteraceae"", ""country"": ""Germany"", ""locality"": ""Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG, Herkunft: Pavia Istituto e Orto Botanico dell'Università di Pavia, Italien: P[a]sso Oclini, Höhe: 1800m. 2002-05-28, Leg.: Cubr 39737."", ""collectorNotes"": ""Label data transcribed during a <a href=\""https://www.herbonauten.de\"" target=\""_blank\"">Herbonauten mission</a>"", ""collectionDateBegin"": ""5/28/2002"", ""collectionDateEnd"": ""5/28/2002"", ""decimalLatitude"": 46.3466758728027, ""decimalLongitude"": 11.4497928619384, ""semanticText"": ""Arnica montana | Arnica montana | Asteraceae | Arnica | Germany | Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG, Herkunft: Pavia Istituto e Orto Botanico dell'Università di Pavia, Italien: P...""}",True,0.94,True,-0.18999999999999995
1,o4-mini,True,0.75,"The decimal coordinates (46.5667, 8.3667) lie in the Swiss Alps (Canton Wallis/Gotthard region), whereas the country field is Germany and the primary locality refers to Berlin (cultivation). This clear spatial conflict between country (Germany) and coordinates (Switzerland) constitutes a highly probable anomaly (per rule set point 1). All major fields are present and well populated, justifying a mid‐high confidence score in the 0.60–0.85 range.",5.258656200021505,1012,527,1539,0.003432,"{""suspicious"": true, ""confidence"": 0.75, ""reason"": ""The decimal coordinates (46.5667, 8.3667) lie in the Swiss Alps (Canton Wallis/Gotthard region), whereas the country field is Germany and the primary locality refers to Berlin (cultivation). This clear spatial conflict between country (Germany) and coordinates (Switzerland) constitutes a highly probable anomaly (per rule set point 1). All major fields are present and well populated, justifying a mid‐high confidence score in the 0.60–0.85 range.""}","{""scientificName"": ""Arnica montana"", ""scientificNameFull"": ""Arnica montana"", ""genus"": ""Arnica"", ""family"": ""Asteraceae"", ""country"": ""Germany"", ""locality"": ""Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem BG-Ort: AG. Herkunft: Graz Botanischer Gard[t]en der Karl-Franzens Universita[ä]t. [Wildherkunft: Wallis (Kanton), Berner Alpen, Gotthard-Gruppe, \""Gletscher..."", ""collectorNotes"": ""Label data transcribed during a <a href=\""https://www.herbonauten.de\"" target=\""_blank\"">Herbonauten mission</a>"", ""collectionDateBegin"": ""5/28/2002"", ""collectionDateEnd"": ""5/28/2002"", ""decimalLatitude"": 46.566665649414, ""decimalLongitude"": 8.36666679382324, ""semanticText"": ""Arnica montana | Arnica montana | Asteraceae | Arnica | Germany | Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem BG-Ort: AG. Herkunft: Graz Botanischer Gard[t]en der Karl-Franzens Universita[ä]t. [Wildhe...""}",True,0.84,True,-0.08999999999999997
2,o4-mini,False,0.75,"All major fields (taxonomy, locality, date, habitat) are fully populated and consistent: Chenopodium polyspermum in a gravel pit (ruderal habitat) in Bavaria fits the species ecology. The country (‘Germany’) and the Bavarian locality match, and the rounded coordinates (47.0, 11.0) fall within southern Germany close enough to Garmisch-Partenkirchen. Collection date is plausible. No clear contradictions or semantic anomalies were detected, so the record is considered clean.",7.637618000153452,1017,843,1860,0.0048279,"{""suspicious"": false, ""confidence"": 0.75, ""reason"": ""All major fields (taxonomy, locality, date, habitat) are fully populated and consistent: Chenopodium polyspermum in a gravel pit (ruderal habitat) in Bavaria fits the species ecology. The country (‘Germany’) and the Bavarian locality match, and the rounded coordinates (47.0, 11.0) fall within southern Germany close enough to Garmisch-Partenkirchen. Collection date is plausible. No clear contradictions or semantic anomalies were detected, so the record is considered clean.""}","{""scientificName"": ""Chenopodium polyspermum"", ""scientificNameFull"": ""Chenopodium polyspermum"", ""genus"": ""Chenopodium"", ""family"": ""Chenopodiaceae"", ""country"": ""Germany"", ""locality"": ""Germany: Bayern. Bayern, Lkr. Garmisch-Partenkirchen, S Riegsee (Bay 144) Ruderalfluren in Kiesgrube, 669 m, MTB 8333/1. 2001-07-30, Leg.: R. & E. Willing."", ""collectorNotes"": ""Label data transcribed during a <a href=\""https://www.herbonauten.de\"" target=\""_blank\"">Herbonauten mission</a>"", ""collectionDateBegin"": ""7/30/2001"", ""collectionDateEnd"": ""7/30/2001"", ""decimalLatitude"": 47.0, ""decimalLongitude"": 11.0, ""semanticText"": ""Chenopodium polyspermum | Chenopodium polyspermum | Chenopodiaceae | Chenopodium | Germany | Germany: Bayern. Bayern, Lkr. Garmisch-Partenkirchen, S Riegsee (Bay 144) Ruderalfluren in Kiesgrube, 669 m, MTB 8333/1. 2001-0...""}",False,0.78,True,-0.030000000000000027
3,o4-mini,False,0.8,"All major fields are populated and internally consistent. The coordinates (47°N, 11°E) fall in southern Bavaria, matching the locality “Lkr. Garmisch-Partenkirchen, S Riegsee” and the elevation of 669 m. The habitat (ruderal gravel pit) suits a Chenopodium species, and the family/genus/name hierarchy is correct. The collection date is coherent, and there are no conflicting country or locality references. This record qualifies as standard clean data (no semantic issues).",7.7467159000225365,1019,1042,2061,0.0057057,"{""suspicious"": false, ""confidence"": 0.80, ""reason"": ""All major fields are populated and internally consistent. The coordinates (47°N, 11°E) fall in southern Bavaria, matching the locality “Lkr. Garmisch-Partenkirchen, S Riegsee” and the elevation of 669 m. The habitat (ruderal gravel pit) suits a Chenopodium species, and the family/genus/name hierarchy is correct. The collection date is coherent, and there are no conflicting country or locality references. This record qualifies as standard clean data (no semantic issues).""}","{""scientificName"": ""Chenopodium sp."", ""scientificNameFull"": ""Chenopodium sp."", ""genus"": ""Chenopodium"", ""family"": ""Chenopodiaceae"", ""country"": ""Germany"", ""locality"": ""Germany: Bayern. Bayern, Lkr. Garmisch-Partenkirchen, S Riegsee (Bay 144) Ruderalfluren in Kiesgrube, 669 m, MTB 8333/1. 2001-07-30, Leg.: R. & E. Willing."", ""collectorNotes"": ""Label data transcribed during a <a href=\""https://www.herbonauten.de\"" target=\""_blank\"">Herbonauten mission</a>"", ""collectionDateBegin"": ""7/30/2001"", ""collectionDateEnd"": ""7/30/2001"", ""decimalLatitude"": 47.0, ""decimalLongitude"": 11.0, ""semanticText"": ""Chenopodium sp. | Chenopodium sp. | Chenopodiaceae | Chenopodium | Germany | Germany: Bayern. Bayern, Lkr. Garmisch-Partenkirchen, S Riegsee (Bay 144) Ruderalfluren in Kiesgrube, 669 m, MTB 8333/1. 2001-07-30, Leg.: R. &...""}",False,0.72,True,0.08000000000000007
4,o4-mini,True,0.75,"The record has full metadata but shows a clear geographic mismatch: country and primary locality state Germany (cultivated in Berlin), yet the decimal coordinates (45.0354, 6.4045) lie in the French Alps (Col du Lautaret). This strong conflict between the stated country/locality and the coordinates constitutes a highly probable semantic anomaly (0.60–0.85 range).",4.356574599863961,1017,507,1524,0.0033495,"{
  ""suspicious"": true,
  ""confidence"": 0.75,
  ""reason"": ""The record has full metadata but shows a clear geographic mismatch: country and primary locality state Germany (cultivated in Berlin), yet the decimal coordinates (45.0354, 6.4045) lie in the French Alps (Col du Lautaret). This strong conflict between the stated country/locality and the coordinates constitutes a highly probable semantic anomaly (0.60–0.85 range).""
}","{""scientificName"": ""Arnica montana"", ""scientificNameFull"": ""Arnica montana"", ""genus"": ""Arnica"", ""family"": ""Asteraceae"", ""country"": ""Germany"", ""locality"": ""Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG - 01 - 001 - 02, Herkunft: Lautaret Station Alpine du Lautaret, Frankreich: Reg. du Col du Lautaret, Lautaret, Höhe: 2100m. 2003-05-27, Leg.: Cu..."", ""collectorNotes"": ""Label data transcribed during a <a href=\""https://www.herbonauten.de\"" target=\""_blank\"">Herbonauten mission</a>"", ""collectionDateBegin"": ""5/27/2003"", ""collectionDateEnd"": ""5/27/2003"", ""decimalLatitude"": 45.0354270935058, ""decimalLongitude"": 6.4044713973999, ""semanticText"": ""Arnica montana | Arnica montana | Asteraceae | Arnica | Germany | Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG - 01 - 001 - 02, Herkunft: Lautaret Station Alpine du Lautaret, Frankreich: Re...""}",True,0.84,True,-0.08999999999999997
0,gpt-5.4-mini,True,0.88,"The record contains a clear geography/locality inconsistency. The country is Germany and the locality begins with ""Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem,"" which fits Germany, but the same locality text also states ""Herkunft: Pavia Istituto e Orto Botanico dell'Università di Pavia, Italien: P[a]sso Oclini, Höhe: 1800m."" The coordinates (46.346676, 11.449793) are in northern Italy/Alps, not Berlin or Germany, and they align much better with the Italian origin mentioned in the locality than with the stated collection country/locality. This is a strong mismatch between country/locality and coordinates. Taxonomy is internally consistent (Arnica montana in Asteraceae), dates are plausible, and the collector note is a normal transcription note. Overall this is a highly probable anomaly due to conflicting locality and coordinate information.",2.742636299924925,1021,225,1246,0.0017782499999999999,"{
  ""suspicious"": true,
  ""confidence"": 0.88,
  ""reason"": ""The record contains a clear geography/locality inconsistency. The country is Germany and the locality begins with \""Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem,\"" which fits Germany, but the same locality text also states \""Herkunft: Pavia Istituto e Orto Botanico dell'Università di Pavia, Italien: P[a]sso Oclini, Höhe: 1800m.\"" The coordinates (46.346676, 11.449793) are in northern Italy/Alps, not Berlin or Germany, and they align much better with the Italian origin mentioned in the locality than with the stated collection country/locality. This is a strong mismatch between country/locality and coordinates. Taxonomy is internally consistent (Arnica montana in Asteraceae), dates are plausible, and the collector note is a normal transcription note. Overall this is a highly probable anomaly due to conflicting locality and coordinate information.""
}","{""scientificName"": ""Arnica montana"", ""scientificNameFull"": ""Arnica montana"", ""genus"": ""Arnica"", ""family"": ""Asteraceae"", ""country"": ""Germany"", ""locality"": ""Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG, Herkunft: Pavia Istituto e Orto Botanico dell'Università di Pavia, Italien: P[a]sso Oclini, Höhe: 1800m. 2002-05-28, Leg.: Cubr 39737."", ""collectorNotes"": ""Label data transcribed during a <a href=\""https://www.herbonauten.de\"" target=\""_blank\"">Herbonauten mission</a>"", ""collectionDateBegin"": ""5/28/2002"", ""collectionDateEnd"": ""5/28/2002"", ""decimalLatitude"": 46.3466758728027, ""decimalLongitude"": 11.4497928619384, ""semanticText"": ""Arnica montana | Arnica montana | Asteraceae | Arnica | Germany | Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG, Herkunft: Pavia Istituto e Orto Botanico dell'Università di Pavia, Italien: P...""}",True,0.94,True,-0.05999999999999994
1,gpt-5.4-mini,True,0.88,"The record shows a clear geography mismatch: the country is Germany and the locality says ""Germany: Berlin"" with cultivation in the Berlin-Dahlem botanical garden, but the coordinates (46.5667, 8.3667) plot in Switzerland, near the central Alps (around Wallis/Berner Alpen/Gotthard region), not Berlin. This is strongly supported by the locality text itself, which even mentions Swiss provenance terms such as ""Wallis (Kanton), Berner Alpen, Gotthard-Gruppe,"" indicating the coordinates likely refer to the wild origin rather than the stated collection locality. That makes the coordinate/locality combination highly inconsistent. Taxonomy is internally consistent (Arnica montana in Asteraceae), habitat/cultivation notes are plausible for a botanical garden specimen, and the date is plausible. The main issue is the strong country/locality vs coordinate conflict, so this is a highly probable anomaly.",2.2535542000550777,1012,218,1230,0.0017400000000000002,"{
  ""suspicious"": true,
  ""confidence"": 0.88,
  ""reason"": ""The record shows a clear geography mismatch: the country is Germany and the locality says \""Germany: Berlin\"" with cultivation in the Berlin-Dahlem botanical garden, but the coordinates (46.5667, 8.3667) plot in Switzerland, near the central Alps (around Wallis/Berner Alpen/Gotthard region), not Berlin. This is strongly supported by the locality text itself, which even mentions Swiss provenance terms such as \""Wallis (Kanton), Berner Alpen, Gotthard-Gruppe,\"" indicating the coordinates likely refer to the wild origin rather than the stated collection locality. That makes the coordinate/locality combination highly inconsistent. Taxonomy is internally consistent (Arnica montana in Asteraceae), habitat/cultivation notes are plausible for a botanical garden specimen, and the date is plausible. The main issue is the strong country/locality vs coordinate conflict, so this is a highly probable anomaly.""
}","{""scientificName"": ""Arnica montana"", ""scientificNameFull"": ""Arnica montana"", ""genus"": ""Arnica"", ""family"": ""Asteraceae"", ""country"": ""Germany"", ""locality"": ""Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem BG-Ort: AG. Herkunft: Graz Botanischer Gard[t]en der Karl-Franzens Universita[ä]t. [Wildherkunft: Wallis (Kanton), Berner Alpen, Gotthard-Gruppe, \""Gletscher..."", ""collectorNotes"": ""Label data transcribed during a <a href=\""https://www.herbonauten.de\"" target=\""_blank\"">Herbonauten mission</a>"", ""collectionDateBegin"": ""5/28/2002"", ""collectionDateEnd"": ""5/28/2002"", ""decimalLatitude"": 46.566665649414, ""decimalLongitude"": 8.36666679382324, ""semanticText"": ""Arnica montana | Arnica montana | Asteraceae | Arnica | Germany | Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem BG-Ort: AG. Herkunft: Graz Botanischer Gard[t]en der Karl-Franzens Universita[ä]t. [Wildhe...""}",True,0.84,True,0.040000000000000036
2,gpt-5.4-mini,False,0.82,"The record is internally consistent. The taxon, genus, and family align plausibly (Chenopodium polyspermum in Chenopodiaceae). The country is Germany, and the locality specifies Bayern/Garmisch-Partenkirchen near Riegsee, which fits the stated country. The coordinates (47.0, 11.0) are broadly compatible with southern Bavaria and do not obviously contradict the locality, though they are coarse rather than precise. The habitat 'Ruderalfluren in Kiesgrube' is ecologically plausible for Chenopodium polyspermum, a ruderal/disturbed-ground species. The collection date is plausible and matches the locality text. Collector notes are minimal but meaningful as a transcription note and not structurally strange. Overall this is standard clean data with no clear semantic contradiction, so the confidence is in the 0.60-0.85 range.",2.07006340008229,1017,209,1226,0.00170325,"{
  ""suspicious"": false,
  ""confidence"": 0.82,
  ""reason"": ""The record is internally consistent. The taxon, genus, and family align plausibly (Chenopodium polyspermum in Chenopodiaceae). The country is Germany, and the locality specifies Bayern/Garmisch-Partenkirchen near Riegsee, which fits the stated country. The coordinates (47.0, 11.0) are broadly compatible with southern Bavaria and do not obviously contradict the locality, though they are coarse rather than precise. The habitat 'Ruderalfluren in Kiesgrube' is ecologically plausible for Chenopodium polyspermum, a ruderal/disturbed-ground species. The collection date is plausible and matches the locality text. Collector notes are minimal but meaningful as a transcription note and not structurally strange. Overall this is standard clean data with no clear semantic contradiction, so the confidence is in the 0.60-0.85 range.""
}","{""scientificName"": ""Chenopodium polyspermum"", ""scientificNameFull"": ""Chenopodium polyspermum"", ""genus"": ""Chenopodium"", ""family"": ""Chenopodiaceae"", ""country"": ""Germany"", ""locality"": ""Germany: Bayern. Bayern, Lkr. Garmisch-Partenkirchen, S Riegsee (Bay 144) Ruderalfluren in Kiesgrube, 669 m, MTB 8333/1. 2001-07-30, Leg.: R. & E. Willing."", ""collectorNotes"": ""Label data transcribed during a <a href=\""https://www.herbonauten.de\"" target=\""_blank\"">Herbonauten mission</a>"", ""collectionDateBegin"": ""7/30/2001"", ""collectionDateEnd"": ""7/30/2001"", ""decimalLatitude"": 47.0, ""decimalLongitude"": 11.0, ""semanticText"": ""Chenopodium polyspermum | Chenopodium polyspermum | Chenopodiaceae | Chenopodium | Germany | Germany: Bayern. Bayern, Lkr. Garmisch-Partenkirchen, S Riegsee (Bay 144) Ruderalfluren in Kiesgrube, 669 m, MTB 8333/1. 2001-0...""}",False,0.78,True,0.039999999999999925
3,gpt-5.4-mini,False,0.82,"The record is internally consistent and does not show a clear semantic contradiction. The taxon assignment is plausible: Chenopodium sp. in Chenopodiaceae is taxonomically coherent. The country and locality fit each other: Bayern, Lkr. Garmisch-Partenkirchen, S Riegsee is in Germany. The collection date (2001-07-30) matches the locality text date and is plausible. The habitat description 'Ruderalfluren in Kiesgrube' (ruderal vegetation in a gravel pit) is ecologically reasonable for Chenopodium. The coordinates (47.0, 11.0) are broadly compatible with southern Bavaria/Garmisch-Partenkirchen, though they are coarse and not exact enough to verify the locality precisely. Collector notes are a standard transcription note and not suspicious. Because the record is fairly complete and coherent, but the coordinates are only approximate and the taxon is identified only to genus, this fits the 'Standard Clean Data' range rather than perfect data.",2.3258205999154598,1019,236,1255,0.00182625,"{
  ""suspicious"": false,
  ""confidence"": 0.82,
  ""reason"": ""The record is internally consistent and does not show a clear semantic contradiction. The taxon assignment is plausible: Chenopodium sp. in Chenopodiaceae is taxonomically coherent. The country and locality fit each other: Bayern, Lkr. Garmisch-Partenkirchen, S Riegsee is in Germany. The collection date (2001-07-30) matches the locality text date and is plausible. The habitat description 'Ruderalfluren in Kiesgrube' (ruderal vegetation in a gravel pit) is ecologically reasonable for Chenopodium. The coordinates (47.0, 11.0) are broadly compatible with southern Bavaria/Garmisch-Partenkirchen, though they are coarse and not exact enough to verify the locality precisely. Collector notes are a standard transcription note and not suspicious. Because the record is fairly complete and coherent, but the coordinates are only approximate and the taxon is identified only to genus, this fits the 'Standard Clean Data' range rather than perfect data.""
}","{""scientificName"": ""Chenopodium sp."", ""scientificNameFull"": ""Chenopodium sp."", ""genus"": ""Chenopodium"", ""family"": ""Chenopodiaceae"", ""country"": ""Germany"", ""locality"": ""Germany: Bayern. Bayern, Lkr. Garmisch-Partenkirchen, S Riegsee (Bay 144) Ruderalfluren in Kiesgrube, 669 m, MTB 8333/1. 2001-07-30, Leg.: R. & E. Willing."", ""collectorNotes"": ""Label data transcribed during a <a href=\""https://www.herbonauten.de\"" target=\""_blank\"">Herbonauten mission</a>"", ""collectionDateBegin"": ""7/30/2001"", ""collectionDateEnd"": ""7/30/2001"", ""decimalLatitude"": 47.0, ""decimalLongitude"": 11.0, ""semanticText"": ""Chenopodium sp. | Chenopodium sp. | Chenopodiaceae | Chenopodium | Germany | Germany: Bayern. Bayern, Lkr. Garmisch-Partenkirchen, S Riegsee (Bay 144) Ruderalfluren in Kiesgrube, 669 m, MTB 8333/1. 2001-07-30, Leg.: R. &...""}",False,0.72,True,0.09999999999999998
4,gpt-5.4-mini,True,0.88,"The record is internally inconsistent in geography/locality: the country is Germany and the locality begins with ""Germany: Berlin"" and mentions cultivation in the Berlin-Dahlem botanical garden, but the coordinates (45.0354, 6.4045) plot in the French Alps near Col du Lautaret, France, not in Germany. The locality text itself also explicitly states the origin as ""Frankreich: Reg. du Col du Lautaret, Lautaret, Höhe: 2100m,"" which conflicts with the country field if interpreted as the collection locality. This looks like a cultivated specimen in Berlin with source material from France, so the mismatch is strong enough to flag as suspicious. Taxonomy and dates are plausible, and the collector note is a normal transcription note.",2.0415242998860776,1017,177,1194,0.0015592499999999999,"{""suspicious"":true,""confidence"":0.88,""reason"":""The record is internally inconsistent in geography/locality: the country is Germany and the locality begins with \""Germany: Berlin\"" and mentions cultivation in the Berlin-Dahlem botanical garden, but the coordinates (45.0354, 6.4045) plot in the French Alps near Col du Lautaret, France, not in Germany. The locality text itself also explicitly states the origin as \""Frankreich: Reg. du Col du Lautaret, Lautaret, Höhe: 2100m,\"" which conflicts with the country field if interpreted as the collection locality. This looks like a cultivated specimen in Berlin with source material from France, so the mismatch is strong enough to flag as suspicious. Taxonomy and dates are plausible, and the collector note is a normal transcription note.""}","{""scientificName"": ""Arnica montana"", ""scientificNameFull"": ""Arnica montana"", ""genus"": ""Arnica"", ""family"": ""Asteraceae"", ""country"": ""Germany"", ""locality"": ""Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG - 01 - 001 - 02, Herkunft: Lautaret Station Alpine du Lautaret, Frankreich: Reg. du Col du Lautaret, Lautaret, Höhe: 2100m. 2003-05-27, Leg.: Cu..."", ""collectorNotes"": ""Label data transcribed during a <a href=\""https://www.herbonauten.de\"" target=\""_blank\"">Herbonauten mission</a>"", ""collectionDateBegin"": ""5/27/2003"", ""collectionDateEnd"": ""5/27/2003"", ""decimalLatitude"": 45.0354270935058, ""decimalLongitude"": 6.4044713973999, ""semanticText"": ""Arnica montana | Arnica montana | Asteraceae | Arnica | Germany | Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG - 01 - 001 - 02, Herkunft: Lautaret Station Alpine du Lautaret, Frankreich: Re...""}",True,0.84,True,0.040000000000000036
